strategy,bins,feature,importance,std
kmeans,6,AveBedrms,0.022706311646575546,0.02014451963193309
kmeans,6,Population,0.032754360252323284,0.01117699442565262
kmeans,6,AveOccup,0.11942650938423272,0.04176795968385394
kmeans,6,Latitude,0.15547793836689616,0.028616706417253578
kmeans,6,Longitude,0.17876904438129618,0.023824870803855553
kmeans,8,MedInc,0.26340871645174846,0.014248753512908682
kmeans,8,HouseAge,0.0904714095036879,0.03431923151674774
kmeans,8,AveRooms,0.06055092990636137,0.019499314681287714
kmeans,8,AveBedrms,0.06444120399383114,0.04352970216407256
kmeans,8,Population,0.03184469939298217,0.007954550077566317
kmeans,8,AveOccup,0.14813093901879817,0.03435781034132036
kmeans,8,Latitude,0.17204642059578862,0.04997542365172418
kmeans,8,Longitude,0.16910568113680216,0.032551109276077794
